,tweet_text,lat,lon,tweeter_location,tweeter_location_from_gps,tweet_time_gmt,tweeter_timezone,tweet_time_local,name,screen_name,description,n_friends,n_followers,n_statuses,tweeter_gender,hashtags,original_screen_name,original_name,original_gender,original_followers,tweeted_at_screennames,tweeted_at_names,tweeted_at_genders,tweet_is_retweet,favorites,retweets,family,money,humans,sad,anger,home,sexual,negemo,death,posemo,anx,health,certain,you,friend,body,we,affect,i,work,ingest,swear,social,tweeted_at_gender_mean,continent,absolute_timestamps,local_timestamps
1168633,PHOTOS: Rally in support of officer Darren Wilson #Ferguson #MikeBrown http://t.co/T9bHDxy37w http://t.co/6KJQwD0YCn,,,arkansas,,2014-08-18 03:37:13+00:00,,,niki,tyneshiahill,"not being able to love fully, they will believe your love incomplete, and then they will hate you  -bukowski",93.0,90.0,3862.0,1.0,"set(['mikebrown', 'ferguson'])",RobertDEdwards,Rob Edwards,0.0,2219.0,[u'RobertDEdwards'],[u'Rob Edwards'],[0],True,30.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,735463.1506944444,
1168634,Protester behind line says McDonald's employees were treating tear gas victims by pouring milk in their eyes. #Ferguson,,,Pittsburgh,,2014-08-18 03:37:13+00:00,America/Chicago,2014-08-17 22:37:13+00:00,Paradise Gray Xclan,ParadiseGray,"The Arkitech Of X-Clan, South Bronx Hip-hop Legend,  Latin Quarters, One HOOD, Zulu Nation, Black Spades",1402.0,2958.0,30829.0,,set(['ferguson']),D_Towski,Danny Wicentowski,0.0,1393.0,[u'D_Towski'],[u'Danny Wicentowski'],[0],True,22.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,North America,735463.1506944444,2014-08-17 22:37:13
1168635,Happening now in #Ferguson http://t.co/TNTcQ4lF2d,,,ATL,,2014-08-18 03:37:13+00:00,America/Halifax,2014-08-18 00:37:13+00:00,Jay,DirtySouthJay,Live & Love. #PLF #OwlNation,522.0,872.0,41389.0,0.0,set(['ferguson']),FOX2now,FOX2now,,60471.0,[u'FOX2now'],[u'FOX2now'],[None],True,276.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,South America,735463.1506944444,2014-08-18 00:37:13
1168636,"If this is how the police in  #Ferguson behave when  they know the world is watching, what do they do the rest of the time?",,,"Baton Rouge, La. baby!",,2014-08-18 03:37:13+00:00,America/Chicago,2014-08-17 22:37:13+00:00,srburris,srburris,A woman who seeks to understand before she is understood.,354.0,91.0,2201.0,,set(['ferguson']),wilw,Wil Wheaton,,2688362.0,[u'wilw'],[u'Wil Wheaton'],[None],True,443.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,North America,735463.1506944444,2014-08-17 22:37:13
1168637,Protesters return tear gas canisters at police in #Ferguson http://t.co/cHNU2LD3Ev,,,All over,,2014-08-18 03:37:13+00:00,America/New_York,2014-08-17 23:37:13+00:00,Bri Winn,Bretagne,Just Do It.,545.0,327.0,5861.0,,set(['ferguson']),alexwroblewski,Alex Wroblewski,0.0,1550.0,[u'alexwroblewski'],[u'Alex Wroblewski'],[0],True,207.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,North America,735463.1506944444,2014-08-17 23:37:13
1168638,"Not widely reported in #Ferguson, people are out cooking &amp; giving away free food to anyone who comes up. #Community",,,NYC,,2014-08-18 03:37:13+00:00,America/New_York,2014-08-17 23:37:13+00:00,Educ8tusAll,Educ8tusAll,"Lifelong learner, educator, proponent of human spiritual evolution, informed voter, citizen of the world, and actor, v.o. artist, & screenwriter on the side.",100.0,271.0,13587.0,,"set(['ferguson', 'community'])",PresReed,Lewis E. Reed,0.0,6850.0,[u'PresReed'],[u'Lewis E. Reed'],[0],True,149.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,North America,735463.1506944444,2014-08-17 23:37:13
1168639,"""Shots fired at officers"" heard over police speaker #Ferguson",,,,,2014-08-18 03:37:13+00:00,,,Becca H,LadyOnTheRight1,"Conservative looking for truth, liberty, & freedom.  And laughs.  Atlanta",1256.0,1195.0,13270.0,1.0,set(['ferguson']),ReporterBlayne,Blayne Alexander,,3642.0,[u'ReporterBlayne'],[u'Blayne Alexander'],[None],True,12.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,,,735463.1506944444,
1168640,Protesters return tear gas canisters at police in #Ferguson http://t.co/cHNU2LD3Ev,,,Montana,,2014-08-18 03:37:13+00:00,America/Los_Angeles,2014-08-17 20:37:13+00:00,Lauren Chief Elk,ChiefElk,Co-founder of @SaveWiyabi,607.0,13955.0,37286.0,,set(['ferguson']),alexwroblewski,Alex Wroblewski,0.0,1551.0,[u'alexwroblewski'],[u'Alex Wroblewski'],[0],True,207.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,North America,735463.1506944444,2014-08-17 20:37:13
1168641,Man what a crazy situation in #Ferguson Absolute chaos. Journalism in the social media and information age is changing everything.,,,Eastern Illinois University ,,2014-08-18 03:37:14+00:00,America/Chicago,2014-08-17 22:37:14+00:00,Neal Marcus,NealMarcus1702,Eastern Illinois University Alum: M.S. Sport Administration B.S. Sport Management.  Make gentle the life of this world.,543.0,153.0,4466.0,0.0,set(['ferguson']),,,,,,,[],False,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,North America,735463.1506944444,2014-08-17 22:37:14
1168642,Dont care how this sounds: wish celebs were paying as much attention to #Ferguson as they are this ice water dumping thing,,,,,2014-08-18 03:37:14+00:00,America/Lima,2014-08-17 22:37:14+00:00,//,mahoganybree_,i beez rich homie bree,308.0,1160.0,54294.0,,set(['ferguson']),BillyWerner,Billy W,0.0,958.0,[u'BillyWerner'],[u'Billy W'],[0],True,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,South America,735463.1506944444,2014-08-17 22:37:14
