TIMESTEP STATISTICS
timestep, diameter, num_sccs, max_scc_size
131, 8, 425, 0.968243
131, 9, 461, 0.967129
131, 9, 508, 0.965556
131, 8, 544, 0.964409
131, 8, 587, 0.963130
131, 8, 643, 0.961394
131, 8, 707, 0.959394
131, 10, 752, 0.957985
131, 8, 819, 0.955789
131, 8, 862, 0.954544
131, 8, 932, 0.952250
131, 9, 1005, 0.949989
131, 9, 1065, 0.948186
131, 9, 1128, 0.946252
131, 8, 1245, 0.942189
131, 9, 1301, 0.940321
131, 9, 1372, 0.938125
131, 8, 1477, 0.934749
131, 8, 1593, 0.931144
131, 9, 1652, 0.929276
131, 8, 1719, 0.927113
131, 9, 1794, 0.924590
131, 8, 1897, 0.921148
131, 8, 2042, 0.916331
131, 8, 2214, 0.910858
131, 8, 2337, 0.906990
131, 9, 2397, 0.905057
131, 9, 2475, 0.902566
131, 9, 2551, 0.900108
131, 9, 2632, 0.897388
131, 9, 2710, 0.894864
131, 9, 2819, 0.891194
131, 9, 2909, 0.888474
131, 10, 3011, 0.885131
131, 10, 3140, 0.880969
131, 9, 3260, 0.877069
131, 11, 3431, 0.871268
131, 9, 3592, 0.865828
131, 9, 3783, 0.859437
131, 9, 4012, 0.852129
131, 9, 4253, 0.844296
131, 9, 4535, 0.835546
131, 10, 4633, 0.832235
131, 9, 4713, 0.829712
131, 10, 4784, 0.827451
131, 11, 4862, 0.824927
131, 9, 4926, 0.822993
131, 9, 4996, 0.820699
131, 9, 5092, 0.817422
131, 10, 5180, 0.814440
131, 10, 5257, 0.811949
131, 10, 5342, 0.809327
131, 9, 5435, 0.806312
131, 10, 5550, 0.802379
131, 10, 5659, 0.798774
131, 13, 5746, 0.795858
131, 11, 5856, 0.792285
131, 10, 5951, 0.788844
131, 11, 6071, 0.785239
131, 12, 6184, 0.781667
131, 11, 6306, 0.777570
131, 11, 6431, 0.773637
131, 10, 6552, 0.769377
131, 10, 6677, 0.765215
131, 12, 6798, 0.761053
131, 10, 6920, 0.757022
131, 11, 7052, 0.752466
131, 11, 7180, 0.748370
131, 12, 7315, 0.743814
131, 11, 7446, 0.739160
131, 11, 7589, 0.734507
131, 9, 7724, 0.729918
131, 9, 7861, 0.725330
131, 10, 7987, 0.721070
131, 10, 8126, 0.716514
131, 11, 8278, 0.711107
131, 9, 8428, 0.706027
131, 10, 8579, 0.700947
131, 10, 8739, 0.695441
131, 10, 8919, 0.689149
131, 10, 9104, 0.683151
131, 11, 9291, 0.676662
131, 11, 9446, 0.671484
131, 12, 9627, 0.665421
131, 12, 9834, 0.658605
131, 12, 10022, 0.652410
131, 11, 10208, 0.645987
131, 11, 10429, 0.638580
131, 15, 10656, 0.630911
131, 12, 10874, 0.623275
131, 12, 11070, 0.616950
131, 12, 11291, 0.609740
131, 11, 11527, 0.601875
131, 13, 11800, 0.593059
131, 13, 12038, 0.584833
131, 11, 12275, 0.576771
131, 12, 12545, 0.567430
131, 11, 12823, 0.557762
131, 12, 13096, 0.548684
131, 11, 13379, 0.538787
131, 12, 13680, 0.528398
131, 12, 13982, 0.518271
131, 12, 14305, 0.507390
131, 11, 14638, 0.496379
131, 11, 14955, 0.485531
131, 12, 15305, 0.473044
131, 12, 15644, 0.461312
131, 12, 16001, 0.449251
131, 12, 16379, 0.435781
131, 12, 16753, 0.422902
131, 12, 17160, 0.409399
131, 13, 17570, 0.395143
131, 13, 18012, 0.380068
131, 15, 18446, 0.365287
131, 15, 18931, 0.349130
131, 13, 19407, 0.332776
131, 13, 19927, 0.314686
131, 14, 20477, 0.296365
131, 15, 21053, 0.276898
131, 16, 21645, 0.257235
131, 15, 22258, 0.237604
131, 16, 22875, 0.216695
131, 14, 23517, 0.196408
131, 14, 24227, 0.173664
131, 14, 24943, 0.150264
131, 16, 25719, 0.124734
131, 16, 26540, 0.098679
131, 22, 27413, 0.070527
131, 22, 28352, 0.036116
131, 6, 29340, 0.008619
131, 1, 30339, 0.000918
