TIMESTEP STATISTICS
timestep, diameter, num_sccs, max_scc_size
131, 7, 458, 0.967194
131, 8, 530, 0.964802
131, 8, 612, 0.962049
131, 8, 677, 0.960050
131, 8, 740, 0.957952
131, 7, 807, 0.955789
131, 8, 875, 0.953561
131, 8, 938, 0.951562
131, 7, 1010, 0.949235
131, 8, 1079, 0.946941
131, 7, 1165, 0.944253
131, 8, 1241, 0.941697
131, 7, 1324, 0.939010
131, 8, 1417, 0.935863
131, 7, 1501, 0.933176
131, 8, 1581, 0.930587
131, 8, 1666, 0.927900
131, 7, 1755, 0.925081
131, 7, 1850, 0.922000
131, 8, 1961, 0.918297
131, 8, 2052, 0.915249
131, 8, 2146, 0.912201
131, 8, 2243, 0.908990
131, 7, 2337, 0.906007
131, 8, 2433, 0.902763
131, 7, 2533, 0.899485
131, 8, 2648, 0.895520
131, 8, 2757, 0.891817
131, 10, 2869, 0.887884
131, 8, 3001, 0.883754
131, 8, 3116, 0.879789
131, 8, 3256, 0.875102
131, 8, 3364, 0.871694
131, 7, 3490, 0.867532
131, 8, 3606, 0.863599
131, 7, 3736, 0.859208
131, 9, 3878, 0.854587
131, 8, 4013, 0.850097
131, 8, 4158, 0.845279
131, 8, 4300, 0.840461
131, 9, 4454, 0.835251
131, 8, 4585, 0.830597
131, 8, 4723, 0.826172
131, 9, 4891, 0.820798
131, 8, 5043, 0.815849
131, 8, 5205, 0.810638
131, 9, 5395, 0.804346
131, 7, 5564, 0.799069
131, 7, 5742, 0.792842
131, 8, 5920, 0.786812
131, 7, 6097, 0.780913
131, 10, 6293, 0.774588
131, 8, 6459, 0.768951
131, 8, 6652, 0.762527
131, 9, 6880, 0.755121
131, 8, 7094, 0.748107
131, 8, 7279, 0.742012
131, 8, 7489, 0.734802
131, 8, 7710, 0.727559
131, 7, 7920, 0.720414
131, 9, 8166, 0.712582
131, 8, 8398, 0.704585
131, 9, 8655, 0.696031
131, 8, 8901, 0.687871
131, 9, 9169, 0.679120
131, 8, 9431, 0.670862
131, 9, 9719, 0.661226
131, 8, 10027, 0.651296
131, 8, 10339, 0.640383
131, 9, 10649, 0.630158
131, 9, 10955, 0.619769
131, 9, 11299, 0.608495
131, 9, 11606, 0.598597
131, 9, 11967, 0.587258
131, 9, 12308, 0.576476
131, 9, 12677, 0.564382
131, 9, 13058, 0.551503
131, 9, 13465, 0.538721
131, 8, 13877, 0.525546
131, 8, 14287, 0.512667
131, 9, 14706, 0.499558
131, 8, 15136, 0.486448
131, 8, 15602, 0.471864
131, 9, 16043, 0.458231
131, 8, 16546, 0.443057
131, 8, 17041, 0.428408
131, 8, 17566, 0.412382
131, 7, 18065, 0.397699
131, 7, 18616, 0.381542
131, 7, 18805, 0.375512
131, 6, 18957, 0.370596
131, 6, 19121, 0.365287
131, 6, 19282, 0.360043
131, 6, 19452, 0.354505
131, 7, 19622, 0.349130
131, 6, 19801, 0.343296
131, 6, 20020, 0.336086
131, 6, 20226, 0.329433
131, 6, 20430, 0.322682
131, 7, 20669, 0.314882
131, 8, 20961, 0.305378
131, 8, 21247, 0.296071
131, 6, 21589, 0.285059
131, 6, 21973, 0.272867
131, 6, 22376, 0.260446
131, 6, 22739, 0.249238
131, 6, 22921, 0.243339
131, 6, 23113, 0.237178
131, 5, 23331, 0.230164
131, 6, 23592, 0.221742
131, 6, 23880, 0.212631
131, 5, 24216, 0.202045
131, 6, 24538, 0.191853
131, 5, 24789, 0.183922
131, 5, 25064, 0.175138
131, 5, 25379, 0.164979
131, 6, 25663, 0.155802
131, 6, 25925, 0.147249
131, 5, 26251, 0.136991
131, 6, 26529, 0.127978
131, 5, 26841, 0.118179
131, 5, 27138, 0.108642
131, 5, 27464, 0.098188
131, 5, 27759, 0.088684
131, 5, 28092, 0.078098
131, 8, 28440, 0.066922
131, 6, 28770, 0.056271
131, 6, 29153, 0.043850
131, 6, 29531, 0.031659
131, 3, 29939, 0.018451
131, 0, 30395, 0.003834
