TIMESTEP STATISTICS
timestep, diameter, num_sccs, max_scc_size
131, 10, 469, 0.966735
131, 7, 526, 0.965031
131, 8, 586, 0.963163
131, 7, 648, 0.961361
131, 7, 702, 0.959558
131, 9, 767, 0.957559
131, 8, 820, 0.955888
131, 7, 887, 0.953823
131, 8, 940, 0.952119
131, 10, 1000, 0.950316
131, 8, 1073, 0.948055
131, 8, 1132, 0.946154
131, 8, 1183, 0.944515
131, 10, 1261, 0.941992
131, 10, 1339, 0.939436
131, 8, 1389, 0.937764
131, 9, 1447, 0.935994
131, 9, 1517, 0.933733
131, 8, 1594, 0.931374
131, 8, 1672, 0.928916
131, 9, 1763, 0.925966
131, 8, 1824, 0.924032
131, 8, 1907, 0.921411
131, 9, 1987, 0.918821
131, 8, 2047, 0.916855
131, 8, 2113, 0.914725
131, 9, 2200, 0.912070
131, 8, 2295, 0.908891
131, 8, 2367, 0.906663
131, 8, 2444, 0.904106
131, 9, 2538, 0.900960
131, 8, 2630, 0.897847
131, 9, 2722, 0.894701
131, 9, 2812, 0.891686
131, 9, 2894, 0.888933
131, 9, 2979, 0.886311
131, 9, 3060, 0.883754
131, 9, 3149, 0.880805
131, 10, 3242, 0.877691
131, 9, 3326, 0.874676
131, 10, 3426, 0.871399
131, 9, 3530, 0.867827
131, 10, 3625, 0.864615
131, 9, 3722, 0.861371
131, 9, 3817, 0.858355
131, 9, 3915, 0.855144
131, 10, 4032, 0.851244
131, 10, 4144, 0.847442
131, 10, 4258, 0.843477
131, 10, 4370, 0.839839
131, 9, 4485, 0.835873
131, 9, 4581, 0.832727
131, 10, 4696, 0.828860
131, 10, 4820, 0.824567
131, 10, 4949, 0.820241
131, 11, 5092, 0.815554
131, 9, 5215, 0.811687
131, 10, 5315, 0.808410
131, 10, 5421, 0.805034
131, 9, 5553, 0.800544
131, 10, 5698, 0.795628
131, 10, 5853, 0.790319
131, 10, 5998, 0.785272
131, 10, 6168, 0.779471
131, 11, 6311, 0.774785
131, 10, 6462, 0.769705
131, 10, 6634, 0.763969
131, 10, 6812, 0.758038
131, 11, 6970, 0.753023
131, 10, 7116, 0.748402
131, 10, 7256, 0.743716
131, 10, 7443, 0.737456
131, 11, 7625, 0.731262
131, 11, 7801, 0.725166
131, 10, 7979, 0.719202
131, 11, 8157, 0.713401
131, 10, 8338, 0.707207
131, 10, 8541, 0.700029
131, 10, 8728, 0.693999
131, 11, 8885, 0.688625
131, 11, 9073, 0.682365
131, 11, 9265, 0.675778
131, 11, 9490, 0.668174
131, 11, 9704, 0.660833
131, 12, 9898, 0.654475
131, 13, 10110, 0.647363
131, 9, 10330, 0.639695
131, 9, 10560, 0.631829
131, 10, 10787, 0.624062
131, 11, 11050, 0.615279
131, 10, 11281, 0.607315
131, 10, 11535, 0.599023
131, 12, 11791, 0.590109
131, 10, 12038, 0.581523
131, 10, 12298, 0.572871
131, 12, 12563, 0.563563
131, 12, 12831, 0.554518
131, 11, 13135, 0.544063
131, 11, 13429, 0.533838
131, 12, 13763, 0.523220
131, 11, 14093, 0.511716
131, 10, 14400, 0.501065
131, 11, 14739, 0.489070
131, 13, 15080, 0.477862
131, 12, 15426, 0.465900
131, 12, 15821, 0.452692
131, 12, 16185, 0.440402
131, 11, 16593, 0.426343
131, 11, 16970, 0.413594
131, 12, 17382, 0.399436
131, 12, 17811, 0.384983
131, 12, 18238, 0.370826
131, 12, 18683, 0.356045
131, 10, 19118, 0.342411
131, 10, 19577, 0.327369
131, 13, 20063, 0.311539
131, 12, 20557, 0.295415
131, 12, 21060, 0.278898
131, 12, 21600, 0.261069
131, 11, 22141, 0.242749
131, 12, 22718, 0.224429
131, 15, 23308, 0.205748
131, 12, 23930, 0.185593
131, 11, 24575, 0.164225
131, 11, 25248, 0.144496
131, 14, 25950, 0.123259
131, 11, 26724, 0.099236
131, 12, 27537, 0.074263
131, 15, 28392, 0.049848
131, 13, 29342, 0.015993
131, 0, 30339, 0.001311
