timestep, diameter, num_sccs, max_scc_size
100, 13, 15786, 0.434308
100, 13, 16935, 0.374258
100, 16, 17714, 0.325746
100, 22, 18410, 0.276622
100, 24, 18931, 0.239601
100, 24, 19399, 0.200200
100, 22, 19780, 0.158154
100, 29, 20149, 0.127545
100, 32, 20399, 0.097168
100, 29, 20588, 0.065399
100, 31, 20774, 0.040900
100, 34, 20888, 0.027954
100, 9, 20944, 0.011978
100, 16, 20964, 0.010376
100, 5, 20974, 0.007735
100, 16, 20952, 0.007128
100, 10, 20903, 0.004633
100, 4, 20877, 0.003508
100, 14, 20758, 0.003334
100, 3, 20647, 0.003082
100, 4, 20551, 0.002340
100, 2, 20430, 0.002220
100, 3, 20279, 0.000838
100, 2, 20100, 0.000849
100, 3, 19965, 0.000704
100, 2, 19796, 0.000714
100, 2, 19640, 0.000724
100, 3, 19456, 0.000611
100, 2, 19264, 0.000620
100, 2, 19068, 0.000629
100, 3, 18879, 0.000638
100, 3, 18668, 0.000647
100, 2, 18459, 0.000613
100, 2, 18241, 0.000622
100, 2, 18042, 0.000632
100, 2, 17820, 0.000642
100, 2, 17590, 0.000652
100, 2, 17366, 0.000662
100, 2, 17147, 0.000673
100, 1, 16916, 0.000440
100, 1, 16670, 0.000447
100, 1, 16439, 0.000455
100, 1, 16206, 0.000463
100, 1, 15969, 0.000471
100, 1, 15731, 0.000480
100, 1, 15488, 0.000489
100, 1, 15248, 0.000498
100, 1, 15013, 0.000507
100, 1, 14764, 0.000517
100, 1, 14507, 0.000528
100, 1, 14239, 0.000538
100, 1, 13985, 0.000550
100, 1, 13734, 0.000561
100, 1, 13477, 0.000573
100, 1, 13206, 0.000586
100, 1, 12946, 0.000599
100, 1, 12679, 0.000613
100, 1, 12408, 0.000628
100, 1, 12143, 0.000643
100, 1, 11880, 0.000659
100, 1, 11617, 0.000676
100, 1, 11353, 0.000693
100, 1, 11094, 0.000712
100, 1, 10822, 0.000732
100, 1, 10547, 0.000753
100, 1, 10271, 0.000775
100, 1, 10006, 0.000798
100, 1, 9727, 0.000823
100, 1, 9470, 0.000849
100, 1, 9186, 0.000877
100, 1, 8912, 0.000907
100, 1, 8620, 0.000940
100, 1, 8330, 0.000974
100, 1, 8037, 0.001011
100, 1, 7745, 0.001052
100, 1, 7466, 0.001095
100, 1, 7163, 0.001142
100, 1, 6868, 0.001194
100, 1, 6572, 0.001250
100, 1, 6276, 0.001312
100, 1, 5983, 0.001381
100, 1, 5687, 0.001457
100, 1, 5388, 0.001542
100, 1, 5085, 0.001637
100, 1, 4776, 0.001745
100, 1, 4481, 0.001868
100, 1, 4169, 0.002010
100, 1, 3864, 0.002175
100, 1, 3552, 0.002370
100, 1, 3241, 0.002603
100, 1, 2926, 0.002886
100, 1, 2603, 0.003240
100, 1, 2276, 0.003692
100, 1, 1961, 0.004290
100, 1, 1688, 0.002275
100, 1, 1370, 0.002821
100, 1, 1044, 0.003711
100, 1, 714, 0.005420
100, 1, 380, 0.010050
100, 1, 53, 0.068966
