timestep, diameter, num_sccs, max_scc_size
100, 7, 3899, 0.868587
100, 9, 3857, 0.868836
100, 7, 3824, 0.868697
100, 8, 3791, 0.868677
100, 8, 3750, 0.868719
100, 9, 3712, 0.868824
100, 7, 3661, 0.869310
100, 7, 3608, 0.869743
100, 8, 3553, 0.870379
100, 8, 3511, 0.870703
100, 7, 3468, 0.870968
100, 8, 3427, 0.871005
100, 9, 3382, 0.871550
100, 8, 3324, 0.872176
100, 8, 3277, 0.872609
100, 7, 3224, 0.873366
100, 8, 3192, 0.873294
100, 7, 3144, 0.873685
100, 8, 3102, 0.874230
100, 7, 3066, 0.874312
100, 7, 3033, 0.874211
100, 8, 2987, 0.874445
100, 8, 2941, 0.874838
100, 8, 2884, 0.875550
100, 9, 2839, 0.875929
100, 7, 2778, 0.877191
100, 8, 2730, 0.877804
100, 8, 2690, 0.878189
100, 8, 2649, 0.878626
100, 9, 2601, 0.879370
100, 8, 2552, 0.879922
100, 7, 2494, 0.880835
100, 7, 2446, 0.881426
100, 7, 2389, 0.882345
100, 7, 2336, 0.883202
100, 8, 2286, 0.883995
100, 7, 2228, 0.885045
100, 7, 2185, 0.885514
100, 7, 2135, 0.886479
100, 7, 2082, 0.887428
100, 7, 2033, 0.888309
100, 7, 1971, 0.889675
100, 7, 1926, 0.890112
100, 7, 1884, 0.890407
100, 10, 1822, 0.892046
100, 9, 1767, 0.893365
100, 7, 1723, 0.894125
100, 8, 1676, 0.894858
100, 7, 1627, 0.895793
100, 7, 1582, 0.896705
100, 7, 1542, 0.897416
100, 8, 1493, 0.898400
100, 9, 1447, 0.899364
100, 8, 1407, 0.899796
100, 7, 1338, 0.902266
100, 7, 1276, 0.904315
100, 8, 1231, 0.905300
100, 10, 1185, 0.906612
100, 7, 1135, 0.908058
100, 8, 1105, 0.908771
100, 8, 1071, 0.909221
100, 8, 1040, 0.909693
100, 9, 1015, 0.909242
100, 8, 993, 0.908928
100, 9, 957, 0.909433
100, 9, 923, 0.910139
100, 7, 890, 0.910888
100, 9, 861, 0.910953
100, 7, 829, 0.911210
100, 7, 788, 0.912361
100, 8, 751, 0.913692
100, 6, 709, 0.915327
100, 7, 655, 0.918272
100, 7, 617, 0.920094
100, 6, 584, 0.920893
100, 7, 554, 0.922000
100, 7, 522, 0.923585
100, 6, 498, 0.923720
100, 8, 470, 0.924701
100, 7, 432, 0.927092
100, 7, 401, 0.929273
100, 6, 364, 0.931369
100, 6, 332, 0.933881
100, 6, 303, 0.936159
100, 6, 274, 0.938348
100, 6, 255, 0.938771
100, 6, 230, 0.940152
100, 6, 195, 0.944901
100, 7, 172, 0.947077
100, 6, 157, 0.946212
100, 5, 145, 0.945157
100, 6, 123, 0.947804
100, 6, 108, 0.947088
100, 5, 79, 0.955195
100, 5, 55, 0.961889
100, 5, 40, 0.965444
100, 5, 23, 0.973098
100, 5, 17, 0.975610
100, 4, 7, 0.982412
100, 2, 2, 0.982759
